COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG2867	33.5	12.4	7.0	16.3	23.0	34.3	28.0	33.2	5.5	7.3	6.7	1.8	22.5	22.0	22.3	17.4	23.3	16.2
COG2869	0	0	0	0	1.0	60.3	7.0	3.0	16.4	0	0	0	15.7	2.0	9.8	2.5	1.0	1.5
COG2870	104.6	65.0	18.6	34.2	27.0	92.2	65.7	90.3	10.3	1.4	2.1	1.4	87.1	79.7	95.5	12.7	16.0	14.5
COG2871	0	0	4.0	0	1.0	100.4	10.0	7.0	24.9	4.0	0	0	14.5	6.2	20.6	1.4	2.5	2.5
COG2872	1.7	1.2	4.1	29.4	11.3	113.9	10.8	6.4	7.9	2.5	2.9	3.8	50.6	14.0	14.3	11.1	11.9	9.7
COG2873	6.1	16.5	13.1	3.4	2.4	3.2	5.4	4.6	9.7	3.6	4.4	4.1	2.9	45.9	13.3	14.7	22.7	21.2
COG2875	41.3	21.7	26.3	18.7	12.8	80.5	49.9	551.0	3.3	1.0	0	0	26.5	30.2	24.4	3.2	6.7	2.8
COG2876	0	0	0	0	0	0	0	1.0	12.5	2.7	2.0	0	0	78.0	0	5.9	3.9	5.8
COG2877	60.0	2.4	11.6	25.2	15.1	69.2	71.1	85.6	12.1	3.1	1.0	0	28.1	36.9	41.0	12.1	6.4	6.9
COG2878	76.3	36.2	17.3	195.7	130.9	207.0	22.2	3.7	51.0	1.7	2.0	0	52.3	29.3	25.4	10.8	8.4	8.1
COG2879	26.5	11.7	6.3	8.8	4.6	17.9	32.1	22.1	1.4	0	0	0	11.7	8.7	9.1	1.5	2.0	5.0
COG2882	34.4	5.6	10.9	34.5	10.0	39.0	28.4	144.0	3.2	3.0	1.0	2.0	51.2	18.9	34.1	1.5	2.2	3.3
COG2884	0	1.9	31.3	15.7	17.6	54.4	46.0	116.4	10.2	2.0	1.0	1.0	40.4	44.5	59.3	6.3	10.9	11.4
COG2885	67.3	26.6	27.2	225.8	109.6	107.9	50.1	98.4	35.7	1.4	1.5	1.9	64.1	55.3	55.2	3.8	7.9	3.9
COG2890	50.9	20.3	12.5	31.3	38.2	80.9	45.2	46.2	8.2	2.9	3.1	2.8	48.9	35.0	42.7	8.2	10.9	8.7
COG2891	39.0	20.2	20.7	11.6	11.7	27.3	29.2	111.6	3.1	2.6	2.4	1.4	22.3	27.1	30.4	2.0	4.5	1.1
COG2893	0	0	54.4	0	9.5	25.2	1.0	1.9	4.6	0	0	0	21.2	1.5	25.4	0	1.7	0
COG2894	32.7	31.4	29.2	101.8	117.2	119.9	76.4	175.6	27.0	0	2.2	1.9	61.2	32.0	46.5	6.6	10.2	9.8
COG2895	14.0	22.0	13.0	219.0	490.0	564.0	30.4	3.0	43.6	1.8	1.7	1.5	68.7	78.8	117.2	15.6	19.4	18.3
COG2896	1.6	18.4	39.4	31.2	18.1	84.1	68.1	131.5	9.2	1.0	2.6	2.2	37.5	42.1	51.5	7.4	9.3	9.3
COG2897	70.3	13.4	21.1	31.9	24.8	103.3	41.8	82.8	8.0	3.9	4.0	3.6	52.3	47.2	55.5	10.8	15.8	17.1
COG2898	0	0	0	0	0	0	1.0	0	0	0	0	0	11.4	3.0	5.0	1.0	2.0	1.0
COG2899	0	0	0	0	0	0	0	0	23.0	1.9	2.0	3.0	29.4	21.9	22.2	7.5	6.8	3.3
