Genus_id	Kingdom	Phylum	Class	Order	Family	Genus
NOG142902	Bacteria	Proteobacteria	K	K	K	K
NOG142941	Bacteria	Proteobacteria	S	S	S	S
NOG142993	Bacteria	Proteobacteria	S	S	S	S
NOG142996	Bacteria	Proteobacteria	S	S	S	S
NOG14305	Bacteria	Proteobacteria	S	S	S	S
NOG14306	Bacteria	Proteobacteria	S	S	S	S
NOG143100	Bacteria	Proteobacteria	S	S	S	S
NOG143103	Bacteria	Proteobacteria	S	S	S	S
NOG143107	Bacteria	Proteobacteria	S	S	S	S
NOG143114	Bacteria	Proteobacteria	P	P	P	P
NOG143115	Bacteria	Proteobacteria	S	S	S	S
NOG143122	Bacteria	Proteobacteria	S	S	S	S
NOG14313	Bacteria	Proteobacteria	P	P	P	P
NOG143151	Bacteria	Proteobacteria	S	S	S	S
NOG14316	Bacteria	Proteobacteria	R	R	R	R
NOG143194	Bacteria	Proteobacteria	S	S	S	S
NOG143271	Bacteria	Proteobacteria	S	S	S	S
NOG143276	Bacteria	Proteobacteria	S	S	S	S
NOG143285	Bacteria	Proteobacteria	S	S	S	S
NOG14332	Bacteria	Proteobacteria	S	S	S	S
NOG143328	Bacteria	Proteobacteria	S	S	S	S
NOG143506	Bacteria	Proteobacteria	S	S	S	S
NOG143521	Bacteria	Proteobacteria	S	S	S	S
NOG143536	Bacteria	Proteobacteria	K	K	K	K
NOG143542	Bacteria	Proteobacteria	S	S	S	S
NOG14357	Bacteria	Proteobacteria	G	G	G	G
NOG143594	Bacteria	Proteobacteria	S	S	S	S
NOG143636	Bacteria	Proteobacteria	S	S	S	S
NOG143702	Bacteria	Proteobacteria	S	S	S	S
NOG143773	Bacteria	Proteobacteria	R	R	R	R
NOG14386	Bacteria	Proteobacteria	S	S	S	S
NOG143870	Bacteria	Proteobacteria	S	S	S	S
NOG143905	Bacteria	Proteobacteria	R	R	R	R
NOG143909	Bacteria	Proteobacteria	S	S	S	S
NOG144012	Bacteria	Proteobacteria	S	S	S	S
NOG144117	Bacteria	Proteobacteria	S	S	S	S
NOG144118	Bacteria	Proteobacteria	S	S	S	S
NOG144193	Bacteria	Proteobacteria	S	S	S	S
NOG144252	Bacteria	Proteobacteria	K	K	K	K
NOG144263	Bacteria	Proteobacteria	S	S	S	S
NOG144294	Bacteria	Proteobacteria	S	S	S	S
NOG144328	Bacteria	Proteobacteria	R	R	R	R
NOG144367	Bacteria	Proteobacteria	S	S	S	S
NOG144376	Bacteria	Proteobacteria	S	S	S	S
NOG144523	Bacteria	Proteobacteria	S	S	S	S
NOG144557	Bacteria	Proteobacteria	S	S	S	S
NOG144560	Bacteria	Proteobacteria	R	R	R	R
NOG144594	Bacteria	Proteobacteria	S	S	S	S
